record_id,customer_id,product_category,region,amount,is_priority,event_date,event_ts
2001,10586,books,north,308.39,false,2026-01-21,2026-01-11 01:20:00
2002,10039,electronics,south,94.38,true,2026-01-22,2026-01-11 01:27:00
2003,10413,fashion,east,80.49,false,2026-01-23,2026-01-11 01:34:00
2004,10624,grocery,west,343.60,true,2026-01-24,2026-01-11 01:41:00
2005,10412,home,central,29.00,false,2026-01-25,2026-01-11 01:48:00
2006,10340,books,north,348.35,true,2026-01-26,2026-01-11 01:55:00
2007,10051,electronics,south,375.42,false,2026-01-27,2026-01-11 02:02:00
2008,10276,fashion,east,449.55,true,2026-01-28,2026-01-11 02:09:00
2009,10021,grocery,west,175.55,false,2026-01-29,2026-01-11 02:16:00
2010,10813,home,central,158.50,true,2026-01-30,2026-01-11 02:23:00
2011,10288,books,north,422.99,false,2026-01-31,2026-01-11 02:30:00
2012,10879,electronics,south,351.13,true,2026-02-01,2026-01-11 02:37:00
2013,10101,fashion,east,486.52,false,2026-02-02,2026-01-11 02:44:00
2014,10234,grocery,west,75.85,true,2026-02-03,2026-01-11 02:51:00
2015,10762,home,central,227.12,false,2026-02-04,2026-01-11 02:58:00
2016,10846,books,north,167.23,true,2026-02-05,2026-01-11 03:05:00
2017,10747,electronics,south,214.22,false,2026-02-06,2026-01-11 03:12:00
2018,10662,fashion,east,53.75,true,2026-02-07,2026-01-11 03:19:00
2019,10453,grocery,west,113.58,false,2026-02-08,2026-01-11 03:26:00
2020,10844,home,central,209.51,true,2026-02-09,2026-01-11 03:33:00
2021,10497,books,north,382.15,false,2026-02-10,2026-01-11 03:40:00
2022,10889,electronics,south,193.22,true,2026-02-11,2026-01-11 03:47:00
2023,10058,fashion,east,262.48,false,2026-02-12,2026-01-11 03:54:00
2024,10163,grocery,west,42.15,true,2026-02-13,2026-01-11 04:01:00
2025,10727,home,central,258.33,false,2026-02-14,2026-01-11 04:08:00
2026,10139,books,north,392.45,true,2026-02-15,2026-01-11 04:15:00
2027,10537,electronics,south,440.87,false,2026-02-16,2026-01-11 04:22:00
2028,10030,fashion,east,95.13,true,2026-02-17,2026-01-11 04:29:00
2029,10897,grocery,west,418.14,false,2026-02-18,2026-01-11 04:36:00
2030,10858,home,central,38.24,true,2026-02-19,2026-01-11 04:43:00
2031,10034,books,north,233.66,false,2026-02-20,2026-01-11 04:50:00
2032,10370,electronics,south,355.27,true,2026-02-21,2026-01-11 04:57:00
2033,10281,fashion,east,190.49,false,2026-02-22,2026-01-11 05:04:00
2034,10476,grocery,west,257.51,true,2026-02-23,2026-01-11 05:11:00
2035,10651,home,central,462.31,false,2026-02-24,2026-01-11 05:18:00
2036,10698,books,north,24.98,true,2026-02-25,2026-01-11 05:25:00
2037,10382,electronics,south,249.51,false,2026-02-26,2026-01-11 05:32:00
2038,10457,fashion,east,97.02,true,2026-02-27,2026-01-11 05:39:00
2039,10892,grocery,west,242.55,false,2026-02-28,2026-01-11 05:46:00
